payers_tin,recipients_tin,payers_name,payers_add,payers_city,payers_state,payers_cont,payers_zip,payers_phn_no,recipient_name,rec_street,rec_cit,rec_stat,rec_cont,rec_zip,rec_acc,one_a,one_b,two_a,caledar_year,two_b,two_c,two_d,two_e,two_f,three,four,five,six,seven,eight,nine,ten,twle,trten,forten,fiften,sixten,company_name,coid
941 89-5292,984 76-6682,Farron Tackno,"327 Juan Crescent Apt. 419
West Michaeltown, AR 38986",Turlock,New Jersey,Spain,57557,838.417.6831,Ashley Parker,6490 Guerrero Loaf,Fullerton,Connecticut,United Arab Emirates,41836,SIVR27878553824350,48432.06,98233.37,2996.16,2003,40884.47,42756.43,5550.44,66103.02,79549.54,13408.78,55786.97,63705.34,69195.68,19910.49,US,6390.66,22891.63,53997.99,46394.1,MT,743-04-9144,62540.75,JPMorgan Chase,JPM
927-84 3637,908 79-0898,Kurt Lopez,"0934 Jennifer Lights
East Melissa, MA 32194",Waterloo,Pennsylvania,Vatican City,42738,425-237-2238,Brittany Landry,12164 Rachel Place,New Rochelle,Maryland,Gabon,18440,ZEKF07229814893203,65822.69,6307.84,83434.7,2000,72690.74,43781.64,4060.36,13717.95,47407.51,88280.09,95460.29,37665.09,1631.53,32475.26,US,32978.7,87107.1,3119.04,1112.85,MN,826-93-7265,2741.71,Tesla,TSLA
907 80-8673,981-83 9548,Marlen Ortega,"4907 James Burgs Suite 243
West Amandaburgh, MD 22362",Savannah,Oklahoma,Pakistan,59439,933.429.2848,Jalijah Gray,68530 Daniel Crossroad Apt. 411,Norfolk,Illinois,Armenia,77184,SKMA33211688847196,14734.77,68300.54,59958.94,1991,76979.53,80715.64,27244.82,3665.99,86828.16,81949.44,82037.23,66914.58,69974.41,56411.64,US,20414.22,68614.57,66185.15,30336.79,IA,130-71-4791,36708.48,Walmart,WMT
949 72-5934,919-84 4829,Tyler Roninson,"237 Brown Plaza
Ashleymouth, NY 95039",Philadelphia,Indiana,Saint Vincent and the Grenadines,17738,978.621.6216,Bijay Lal,562 Torres Alley Apt. 183,Nashville,New Hampshire,"Korea, South",63118,VNJA13823029883006,18591.67,66450.58,37025.72,2006,70490.95,65594.11,90495.74,98262.61,43430.94,42643.93,33498.61,77441.11,87109.92,79206.91,US,71751.64,36033.33,27334.94,90216.67,TN,052-57-9631,83572.69,UnitedHealth,UNH
942-81 4653,958 80 0804,Sullivan Eudy,"PSC 1954, Box 7262
APO AA 15311",Baltimore,Missouri,Indonesia,70254,6209319180,Samson Yeager,359 Nicholas Hollow Suite 112,Tempe,Louisiana,New Zealand,65404,GPHY04267253891303,75394.79,66397.02,51318.02,2019,39863.76,23373.51,81110.69,36751.96,1132.62,49278.62,81918.87,12797.92,29213.06,34818.07,US,56922.96,39526.1,3747.38,22775.09,OR,388-08-2415,78169.18,Mastercard,MA
938 78 9016,963 73 4080,Kim Brown,"99746 Buck Dam
Sheilabury, WI 88282",Folsom,West Virginia,Bosnia and Herzegovina,51265,+1-684-628-0888,Ben Slater,45860 Bowers Cape Suite 216,Union City,Washington,Nicaragua,30081,BTYL99093285282224,31848.23,27243.76,56205.43,2014,92421.2,66552.15,54978.77,15255.01,98359.84,27098.74,64527.25,2894.9,3307.08,99410.76,US,95052.12,66369.15,65563.67,38461.04,MA,667-21-2855,6454.07,Exxon Mobil,XOM
974 78 1211,923 86-5944,Clyde Davis,"2628 Walton Stravenue
Port Frankburgh, LA 59170",Olathe,West Virginia,Israel,59257,(945)773-0912,Eric Lolis,674 Victoria Overpass,Midland,Tennessee,Qatar,24204,FXRF17053070100452,49513.73,39067.99,10645.72,2018,80217.7,35457.17,49766.08,62437.33,36926.2,79067.37,47770.72,47360.43,56363.47,86729.71,US,5975.54,85378.68,35408.22,13169.57,TX,595-72-7892,76948.26,Johnson & Johnson,JNJ
987 85 7686,990 79 0160,Mickey Slaughter,"425 James Valley
Marciamouth, CO 43162",Lewisville,Oregon,Palestine,49688,(528)219-4470,أحمد حسن,56900 Alyssa Well,Pearland,Wisconsin,Eritrea,24598,GZFS89355387148287,53632.97,27678.84,59626.19,2020,35744.78,48112.4,41000.41,41493.31,22119.43,99236.63,17265.71,22690.83,31396.69,74568.83,US,58186.15,47808.68,34661.59,30523.33,MS,055-85-8255,87025.37,Procter & Gamble,PG
919-71-5565,958 79-9151,Keiwan Knox,"90319 Robert Rue
Bushchester, ID 54544",Tyler,Idaho,Kenya,37553,593.867.7554,Darnell Scott,542 Tyler Green,Erie,Tennessee,Maldives,69416,XZNC70450692712584,4620.28,4228.27,86724.08,2007,9507.39,48412.9,51324.61,59912.38,80019.46,93840.77,70457.83,94294.91,54413.13,72447.49,US,51506.65,38987.93,40225.25,20685.23,VI,687-63-9566,25886.87,Home Depot,HD
985 80-4639,951 88 1803,Gerson Misael Maquin,"3989 Daniel Way Suite 238
East Kelsey, ND 81085",Springfield,Iowa,Kuwait,52004,722.529.5325,Jessica Williams,8897 Tamara Plaza,Norfolk,Rhode Island,South Africa,99036,CXVT55103384572551,77252.13,99992.31,30426.82,2010,11788.72,60091.02,49101.05,54285.47,99698.86,71290.69,74727.11,54845.16,76916.94,11028.76,US,83330.41,41526.32,41710.92,18981.41,CA,106-07-0722,65485.47,Oracle,ORCL
983-78-4943,948-74 5252,Aaron Lopez,"4636 Rose Corner
Michelechester, AL 83893",Carlsbad,Wyoming,Solomon Islands,77191,662-297-3342,Tip Sirloin,1326 Kristina Roads Apt. 986,Virginia Beach,Alabama,Australia,37817,TNMQ49382617893387,30020.34,87761.96,65476.57,1996,23046.7,53381.03,32985.08,58514.64,23992.45,92442.93,65506.94,27226.56,3640.79,92192.33,US,94733.54,57216.81,98261.57,5919.76,AL,838-36-0589,14090.68,Costco,COST
964-81-6775,902 75-1124,Michael Dejean,"479 Williams Park
Robinsonchester, VT 47905",Sioux City,Wyoming,France,24598,001-767-586-0839,Whitney Warren Hunt,48003 Valerie Route Suite 833,Chino Hills,Montana,Ethiopia,18846,MIQO32479591106348,86451.33,43481.95,37200.08,2004,17031.83,63975.94,43527.35,53107.65,29908.34,27316.48,96345.49,8229.53,52608.67,62245.45,US,93669.95,70685.16,28118.07,13862.68,HI,469-20-7479,73313.95,AbbVie,ABBV
924-86 3000,994 83-5692,Brittany Thejawn,"268 Kayla Cove Suite 107
North Laurie, DE 66151",South Gate,California,Yemen,9301,773.633.8989,John Johnson,508 Karen Gardens Suite 251,Plymouth,South Carolina,Belarus,39336,SQUV77809391062288,254.92,5186.29,46401.63,2000,6714.63,94730.85,17830.44,72486.28,46352.66,23090.33,56768.42,15339.63,36736.08,6071.92,US,99328.25,36544.23,76794.07,67663.96,TN,163-79-1022,61714.49,AMD,AMD
961 75-4996,928 85 6032,Nguyen Huy Bing,"566 Houston Roads Suite 065
New Bradley, MA 53075",Chattanooga,Virginia,Antigua and Barbuda,83291,001-853-390-0306,Katlyn Faith,71109 Mary Corner Suite 160,Norwalk,Maine,Syria,77370,HMGY08334287689044,86265.65,38364.31,44374.97,1998,7664.38,36233.67,43034.76,70189.04,7976.1,73597.92,72067.52,6654.4,44663.04,18213.78,US,58264.46,78636.33,47776.53,3264.18,ME,135-35-6044,75071.66,Merck,MRK
955-77-0263,959 79-0989,Puja Rai,"2560 John Terrace Apt. 111
Lake Vanessaberg, AK 45573",Frisco,Montana,Montenegro,86899,776.413.2822,John Sexton,415 Michael Mountain Apt. 026,Independence,Virginia,Italy,20829,AVJC93877117875263,65628.46,87528.38,54568.17,2000,59875.63,15472.5,74164.05,28720.08,98089.64,66144.14,69546.45,91420.67,31738.14,57409.25,US,92005.58,99918.94,75853.04,17259.07,PR,532-29-1802,2442.29,Salesforce,CRM
926 86-9084,906-82 7049,Lamont Taylor,"105 Villanueva River Suite 463
South Mathew, AL 45637",Davie,Wisconsin,Moldova,65292,7647760439,Dham Sa,36816 Carl Springs Apt. 322,Colorado Springs,Florida,Denmark,24749,FHXN04534413172434,30651.88,41495.92,23397.87,2016,37095.33,92252.77,82085.07,32911.9,58097.78,4141.67,36071.74,21052.01,71599.18,66387.6,US,21132.34,47923.25,36514.74,26652.65,AL,146-27-8508,65930.93,Bank of America,BAC
902 82 7435,954 82 9710,Don Bishop,"6957 Fisher Islands Suite 870
Seanville, ID 51933",Sunrise,Indiana,Nigeria,82923,(911)223-0634,Roxie King,247 Chelsea Islands,Cape Coral,New Mexico,New Zealand,56323,ZOFG56364949561788,94302.98,47538,91152.43,2007,78777.79,8257.62,72315.26,96799.1,61377.39,30117.44,45970.17,99545.56,15478.87,24149.67,US,80423.27,91381.16,90066.54,833.79,KS,135-01-1397,34298.96,Chevron,CVX
941 80-5418,985 85 3346,Darious Franklin,"7433 Benjamin Views Suite 429
North Jillfurt, FL 22724",Port St. Lucie,Wyoming,Liechtenstein,97275,(682)565-5863,Deona Smith,53964 Bird Stream,Charleston,Kentucky,Madagascar,77821,ZGHG34330525013582,76444.31,95520.33,25973.7,2013,22714.08,32846.47,48424.14,5067.49,38994.01,30559.43,33659.1,87091.04,97211.75,91095.19,US,91671.34,14491.13,78648.27,33701.09,SD,682-61-1446,73793.16,Netflix,NFLX
925 80 8744,908-72 8355,Jordyn Glaspie,"134 Wilson Drive Apt. 488
Adamview, RI 11940",St. Paul,California,Vietnam,20898,522-846-4681,Luis Catillo,41848 Cox Drive,Bloomington,Utah,Central African Republic,89246,SASA63851386854941,72324.42,50705.36,74389.7,2013,61851.23,84157.08,2377.9,46005.82,39321.99,2337.02,2688.52,38950.53,86910.7,32526.35,US,70574.02,40911.62,94240.22,97437.36,WY,559-66-4684,98989.34,Adobe,ADBE
943 84-9976,981-76-3995,Shionta Carter,"746 Rhonda Trail
West Charles, FL 42392",Corona,Hawaii,Iceland,7329,(344)635-2704,Ahmad Ahmad,8647 Henson Points,Chino,Oregon,Iraq,34944,FHSZ35755620044251,63584.34,76002.23,14028.91,2019,50828.63,48066.18,38977.28,94617.56,29818.39,95849.8,25711.98,92804.33,21362.99,67864.81,US,64493.27,10224.26,84707.83,85935.22,WA,277-36-4219,87914.99,Coca-Cola,KO
925 74 3169,911 76 4145,Keke Jones,"67556 Kidd Via Apt. 440
Jameschester, MN 68307",Gainesville,Idaho,Chile,77370,213-208-0547,Noyon Moni,71375 Maria Cliff Suite 294,Fayetteville,Louisiana,Namibia,92028,CVUQ24688177779203,83889.55,65123.4,74967.35,1998,58290.68,47574.32,48572.51,26147.53,21266.4,18421.69,31887.45,90008.42,11845.35,79688.64,US,3862.38,19402.18,91117.38,20826.73,LA,193-23-7497,18657.8,Pepsico,PEP
914-83-0042,983 70-6744,Byron Jones,"USNS Burgess
FPO AE 01210",McKinney,Mississippi,France,30876,307.248.7195,Billy Bertrand,8519 Ward Harbors,Manteca,Colorado,Tonga,70582,ZNSD51223970328996,70246.02,27675.69,68287.43,2010,74680.55,98447.56,79723.47,66643.11,17462.17,64038.27,6801.71,42131.77,2935.68,54857,US,46437.06,13185.14,26215.49,8730.36,NJ,243-73-1470,74564.04,Thermo Fisher Scientific,TMO
924-79-5107,919-88-1176,Caden Stiles,"1925 Sullivan River Suite 364
Wyatthaven, CA 20756",Winston-Salem,Louisiana,Georgia,10816,001-880-711-9398,Jeffery Whitfield,54375 King Village Suite 980,Irvine,Hawaii,Guyana,98953,DVFH58178734810203,76006.72,1480.32,49171.83,2011,10154.54,25767.66,66199.36,82778.27,90436.41,74335.93,83065.72,78070.8,11787.66,57991.61,US,2491.96,58881.2,44896.75,73804.43,SD,862-55-3229,93875.11,Wells Fargo,WFC
965-85-2342,901 86 6139,Travis Chelette,"Unit 0671 Box 2136
DPO AP 32875",Edinburg,Kansas,Kenya,95481,+1-918-451-5008,Priya Rani,70668 Robert Pass,Montgomery,Idaho,Comoros,50027,VOLD20090347450825,74236.83,69.16,18211.11,2012,23482.68,7845.77,59382.25,74213.68,60157.69,22528.69,86248.62,12991.05,69917.08,92414.89,US,98012.9,94857.9,6275.86,35853.39,CA,415-67-3759,87722.27,Abbott Laboratories,ABT
991-77-4508,945-84 2784,Ladybug Ann,"49757 Cherry Tunnel Apt. 079
Toddbury, MT 24449",Springfield,Connecticut,Uganda,15589,707-584-6659,Minnie Andrew,7114 Simpson Lane,St. Joseph,New Jersey,Bulgaria,15411,ZKLA99033938490352,92461.49,58324.33,6885.79,1995,73255.29,27496.23,65108.39,75324.2,85089.36,93413.48,90605.09,35061.91,24461.74,45410.48,US,13701.03,70892.7,78957.7,16241.14,TX,628-23-3009,32098.55,Walt Disney,DIS
906-79-8889,981 74-4592,Coral Comstock,"8793 Johnson Parkway
Moraleshaven, VT 54906",Santa Clara,Florida,Guinea,98945,502-863-2877,Trevon Matthews,08545 Harvey Course,Muncie,Mississippi,Belarus,75497,SLIX98332312546244,70961.9,18694.78,54112.22,2013,576.78,67169.81,20038.15,14255.53,79640.02,95878.11,89554.56,24248.75,32422.9,87430.92,US,79904.02,35335.62,81304.63,73600.33,VI,149-49-9704,51537.58,Cisco,CSCO
973-82 0681,976 87 1719,شيماء الغزالي,"33012 Williams Underpass
Heatherberg, IN 41087",Redondo Beach,Ohio,Ghana,12963,598.787.4640,Poopha James,47407 Wilkerson Knolls Suite 569,Largo,Massachusetts,Mali,55239,IGHG51547304031755,30316.71,78878.29,57915.9,2020,48329.99,6576.65,15423.67,22610.9,94632.48,39242.16,39312.23,54807.9,17495.15,70059.71,US,84252.4,61381.23,89668.6,37496.61,AZ,048-54-4857,77203.25,McDonald,MCD
904-71-1849,929 82 9232,Haidar Haidar,"3648 Washington Park Apt. 458
Careyfurt, IL 90314",Omaha,Nebraska,United Kingdom,18988,+1-413-926-0100,Chris West,968 Diane Circle Suite 195,Garland,Nebraska,Namibia,79214,AHXC47993133949445,2410.32,64691.05,73795.71,2009,35835.05,21874.25,21222.31,54816.63,53606.94,62833,17512.02,52404.75,81703.73,19486.89,US,47623.09,90593.5,58757.55,48801.83,NV,715-42-4374,68087.63,T-Mobile US,TMUS
973 71 0903,919-71-5565,Triston Thompson,"52132 Jerry Landing
Port Andrewmouth, MP 02345",Santa Ana,Ohio,France,24024,551.378.6118,Steven Singleton,7941 Emily Lock Suite 080,Evanston,Connecticut,Algeria,7894,NXGA47536052642888,23932.85,51244.21,58644.26,2021,7522.69,72730.07,89549.34,18222.43,50804.79,70860.33,65421.31,2630.67,47596.87,5226.78,US,62542.73,91359.76,34104.56,22768.81,AS,689-51-6317,37496.85,QUALCOMM,QCOM
958-73-0432,913-86 4024,رجل لايعرف المستحيل,"07161 Michelle Radial
Owenshaven, LA 93730",Seattle,Missouri,Qatar,17771,803-605-3401,Maria Snpm,42139 Emily Mission Suite 542,Rio Rancho,North Carolina,Burkina Faso,86652,DEVA17150673078749,20158.29,19258.34,95014.99,2012,78105.65,188.14,86861.71,24200.61,75330.52,63212.71,77461.3,49279.91,34163.11,60257.67,US,85949.16,75393.99,1655.55,9614.92,CA,679-92-8117,22404.94,Danaher,DHR
960 80-7142,900-78 7130,عبدو خالد,"5288 Mathis Stream
Lake Susanhaven, RI 43089",Champaign,North Dakota,Cyprus,7607,001-239-497-4131,Raskondra Anthony,2245 Juan Trail Apt. 011,Gastonia,Alabama,Jordan,50022,WHGK10257109962734,2097.02,66665.98,34599.01,2018,97709.33,51510.39,78930.63,29718.64,37566.13,27476.69,25864.97,19985.11,69473.63,10725.22,US,87799.47,51826.19,20366.57,55187.11,IL,459-25-7033,5523.28,General Electric,GE
961-73 5088,936-71 7255,Mary Riddle,"8874 Albert Forks Apt. 274
West John, SD 91752",Hoover,Florida,Vanuatu,71122,916-330-6746,Manie Zghhy,96748 Shaw Glen Apt. 633,Warner Robins,West Virginia,Indonesia,44351,RKER48563050973163,91288.25,38222.8,73645.58,2007,261.02,53187.3,38454.36,41654.72,68091.84,1116.5,18733.17,53928.6,3226.62,61426.24,US,77548.46,28485.67,35535.01,26888.66,MD,609-77-5356,2100.96,Intuit,INTU
918-80-2782,911 74-1694,Helo ,"16008 Zhang Port Apt. 034
Schmidtfurt, NC 80600",Billings,Oklahoma,Marshall Islands,28823,955-912-6400,Madison Willman,68993 Fleming Valleys Suite 366,Las Cruces,Wyoming,Trinidad and Tobago,43149,KHHC10865222692796,38010.06,20580.11,1702.55,2002,51234,69523.04,6069.03,70134.01,1079.01,58726.65,83859.16,72965.94,38226.62,42867.43,US,76859.85,20008.38,58986.31,93275.65,MN,059-41-9695,96754.61,Intel,INTC
957-89-3182,982-70 2711,Krista Brady,"721 Brooks Lights Apt. 016
Port Carlyland, DE 67630",Cincinnati,Kansas,Guyana,42185,001-874-514-1917,Kennesha Sheron,6387 Watkins Knolls,Union City,Montana,Congo,20809,BIDS23447804646391,61789.75,92849.92,9074.44,2013,37251.13,40240.57,45903.01,28771.57,44925.13,17950.78,814.54,1091.17,86370.46,40592.8,US,60461.54,63471.14,71832.23,8192.79,OH,063-68-2428,27597.42,IBM,IBM
999 72 0257,933 85-5261,Traylin Whiten,"91832 Vincent Field Apt. 247
Lake Willie, IA 53580",Southfield,Michigan,United States,25739,(369)546-1830,Rebecca Cruz,7073 Rachel Trafficway,Trenton,Hawaii,Switzerland,98182,VRJN23296216688066,53865.83,22228.68,27796.9,2018,74652.2,30105.31,69227.8,77220.82,54302.62,86105.19,28611.62,79228.34,8258.44,65892.72,US,95260.45,63279.5,92133.47,25803.62,AZ,858-70-4332,90175.42,Caterpillar,CAT
974 70 5209,940 83 6349,Pop ,"24843 Herrera Stream
East Kelly, FL 72941",Virginia Beach,West Virginia,Turkey,94606,001-286-400-5492,Hannah Mills,9769 Haley Parks,Vallejo,Mississippi,France,54384,YSTU10183763880300,60626.75,22264.02,52454.7,2001,66345.28,5648.85,15908.33,5802.84,33304.99,32823.8,32885.43,52788.87,27641.47,76336.01,US,32144.2,95455.21,95752.83,42208.18,WI,327-60-8302,71772.78,Comcast,CMCSA
966 74 2071,984 80 5061,Vickie Mickie,"117 Hannah Haven
Thorntonview, CO 71957",Pomona,Vermont,Guinea,83660,(349)537-6778,Dray Holden,48267 Matthew Prairie,Escondido,Louisiana,Laos,2009,EGAP42856640940488,57440.78,70475.08,88044.49,1997,72873.08,39693.05,25594.85,79935.86,9580.22,87411.83,38798.97,52282.25,29895.33,68700.69,US,64116.95,31567.53,13528.37,5251.49,AZ,711-06-7253,64058.86,Applied Materials,AMAT
988 89 2433,910 80 6381,اميره الخالدي,"4316 Chang Valley
Alexanderberg, VT 49614",Quincy,Tennessee,Chad,86762,420.803.3438,Pete Arbour,8780 Owens Pass Suite 751,Pasadena,Ohio,Paraguay,1030,PHYQ47409293869751,25506.42,14823.54,16606.62,1999,35090.31,13406.74,29187.64,95823.07,85388.19,57391.64,63158.37,84647.67,67352.04,47763.99,US,84254.49,40291.69,50661.9,56336.07,NH,288-74-4394,74509.36,Verizon,VZ
906 89 2782,952-84 0304,Dameion Paul,"0938 Ramos Plains
South Michaelhaven, MD 05340",Inglewood,Kansas,San Marino,86557,+1-906-758-1110,Johnny Ukin,3723 Joshua Stream Suite 798,Pearland,Georgia,Pakistan,40199,KEOX07205603382637,15190.08,80016.77,73181.03,2021,47778.24,59562.07,23337.08,3460.96,78095.23,36258.57,10644.28,88515.25,91643.24,24999.91,US,15662.02,5469.98,34232.51,63036.28,MD,675-83-1162,28021.29,Uber,UBER
978-87-3463,940 78-6706,Pujalame Jainsa,"55505 Torres Village Apt. 051
Frazierton, HI 17533",Charleston,New Jersey,Congo,11282,(896)872-0057,Russell Johnsob,7521 Snyder Spur Suite 344,Corpus Christi,Hawaii,Tajikistan,12963,VCKP34200229652161,2843.85,7982.23,53788.1,1999,11278.34,95584.03,98738.99,26299.52,61069.22,74148.94,51001.22,10048.31,94789.78,35550.45,US,93663.53,77172.99,95184.24,39000.22,RI,742-88-7813,95827.86,American Express,AXP
928-85-7926,953 81-4623,Roz Roz,"958 Barbara Crossroad Suite 525
East Jessicatown, AS 60960",Nashua,Delaware,San Marino,75733,5988273739,Keioshia Alexander,77502 Shirley Hills Suite 793,Redondo Beach,Louisiana,Turkey,82817,KYXF96836526152189,83478.54,86723.38,73551.09,2012,28219.68,28739.34,24759.49,98412.28,93660.42,53810.34,59941.61,33202.19,2318.16,56863.02,US,46639.39,61257.47,45971.14,83458.25,PR,534-82-0687,73801.31,ServiceNow,NOW
997 84-4626,935 76 3274,Sneha Pbt,"924 Tran Islands
Port Ericshire, ME 62756",Fayetteville,Arkansas,Angola,67975,+1-653-821-1098,Ishana Thompson,21243 Noble Branch Suite 824,Vallejo,Florida,Kenya,36372,FUMU13042375412450,33252.61,42077.99,96451.94,1998,60437.84,67181.68,47819.16,98680.99,92842.14,92861.01,97930.2,39901.99,77243.31,31690.89,US,44767.7,76787.04,54242.36,33588.42,KS,388-15-9682,97770.77,Pfizer,PFE
906 77-6610,950-73 2433,Jessica Williams,"25776 Charles Rue
South Kimberly, MT 11201",Aurora,Michigan,Turkey,30502,+1-857-910-9855,Trinity Sullivan,222 Melissa River,Perris,New Jersey,Bosnia and Herzegovina,21651,HUQH87927814679686,15998.12,13428.02,95647.41,2020,90704.58,24960.51,25546.93,85664.97,47121.73,22078.76,74296.39,23679.94,71624.56,56867.76,US,61215.7,3063.91,63731.05,68337.98,OH,149-22-6745,32231.49,Texas Instruments,TXN
958 76-7261,933 84 4475,روان علي,"35012 Dennis Club Suite 197
Matthewville, KS 08258",Jacksonville,Virginia,Cabo Verde,1714,001-873-894-4287,Emily Cox,0446 Matthew Canyon Apt. 175,McKinney,Washington,Turkey,57597,CLXP35448679261296,49884.05,3690.05,26958.14,2006,23605.72,17578.25,42041.49,19633.86,88180.64,60850.19,19778.99,40328.2,21066.27,99163.58,US,51299.39,30900.46,16068.73,60736.04,MN,079-70-3460,79368.36,Nike,NKE
978 79 1801,902 82 7435,Bijili Bijili,"611 Gregory Loop Apt. 765
North Jesseside, WI 40099",Racine,Utah,Cabo Verde,69572,5057414233,Jiseok Kang,050 Jones Harbors,Yakima,Pennsylvania,Lebanon,50999,ZKUX88232056983922,96070.06,17996.54,11498.35,2012,32166.75,86723.62,83438.97,38976.9,69450.1,99134.05,24608.38,58249.35,77411.55,82611.33,US,20761.39,27768.29,21724.74,55049.49,AZ,264-14-8659,45817.05,Union Pacific Corporation,UNP
